Player ID,Matches Played,Innings,Runs Scored,Highest Score,Batting Avg,Strike Rate,Fifties,Hundreds,Wickets,Bowling Avg,Economy,Best Bowling,Catches,Stumpings
SPL2-001,12,12,320,89,26.67,132.50,3,0,8,18.75,6.80,4/22,6,0
SPL2-002,15,14,410,102,29.29,125.60,3,1,4,32.50,7.20,2/18,8,0
SPL2-003,8,7,95,32,13.57,98.40,0,0,2,28.00,8.50,1/12,3,0
SPL2-004,14,13,185,45,14.23,108.20,0,0,0,0.00,0.00,,12,8
SPL2-005,6,6,78,28,13.00,92.30,0,0,5,16.20,6.40,3/15,2,0
SPL2-006,9,8,112,38,14.00,105.60,0,0,1,35.00,9.20,1/8,4,0
SPL2-007,7,6,68,24,11.33,88.90,0,0,0,0.00,0.00,,2,0
SPL2-008,16,15,520,95,34.67,138.40,5,0,6,24.30,7.10,3/28,7,0
SPL2-009,13,12,380,78,31.67,142.80,4,0,3,30.00,8.00,2/25,5,0
SPL2-010,11,10,265,72,26.50,118.90,2,0,7,19.50,6.50,3/18,4,0
SPL2-011,10,9,190,55,21.11,110.50,1,0,9,15.80,5.90,4/12,3,0
SPL2-012,14,13,345,85,26.54,128.30,3,0,5,22.60,7.40,2/20,6,0
SPL2-013,9,9,210,68,23.33,115.40,1,0,1,45.00,9.80,1/22,2,0
SPL2-014,10,9,135,42,15.00,102.30,0,0,3,25.60,7.80,2/14,5,0
SPL2-015,12,11,175,48,15.91,105.80,0,0,0,0.00,0.00,,9,6
SPL2-016,11,10,290,76,29.00,121.70,2,0,4,28.50,7.60,2/22,4,0
SPL2-017,6,5,55,22,11.00,85.90,0,0,0,0.00,0.00,,1,0
SPL2-018,13,12,385,92,32.08,135.20,4,0,10,14.20,5.60,5/18,5,0
SPL2-019,10,10,275,82,27.50,130.40,2,0,2,35.50,8.20,1/15,3,0
SPL2-020,7,6,110,35,18.33,98.20,0,0,6,18.30,6.20,3/12,2,0
SPL2-021,8,7,145,40,20.71,112.40,0,0,4,22.00,7.00,2/16,3,0
SPL2-022,12,11,85,18,7.73,78.50,0,0,14,12.40,4.80,5/8,4,0
SPL2-023,9,9,310,88,34.44,145.30,3,0,1,42.00,9.50,1/28,2,0
SPL2-024,11,10,225,62,22.50,119.60,1,0,8,17.50,6.30,4/20,6,0
SPL2-025,14,13,445,105,34.23,140.80,3,1,5,24.80,7.20,2/22,7,0
SPL2-026,7,6,72,25,12.00,90.00,0,0,1,32.00,8.80,1/10,2,0
SPL2-027,8,8,195,58,24.38,126.60,1,0,0,0.00,0.00,,1,0
SPL2-028,13,12,355,90,29.58,133.50,3,0,7,20.40,6.90,3/24,5,0
SPL2-029,6,6,160,65,26.67,118.50,1,0,0,0.00,0.00,,2,0
SPL2-030,9,8,125,38,15.63,95.40,0,0,3,28.30,7.80,2/18,3,0
SPL2-031,7,7,180,55,25.71,122.40,1,0,2,30.00,8.40,1/16,2,0
SPL2-032,8,7,88,30,12.57,96.70,0,0,2,26.50,8.00,1/14,3,0
SPL2-033,10,9,240,70,26.67,128.90,2,0,6,19.80,6.60,3/16,4,0
SPL2-034,5,5,65,22,13.00,88.40,0,0,4,20.00,6.80,2/12,1,0
SPL2-035,12,11,365,88,33.18,136.40,3,0,3,28.60,7.50,2/20,5,0
SPL2-036,6,5,48,18,9.60,82.70,0,0,0,0.00,0.00,,2,0
SPL2-037,8,8,155,42,19.38,108.30,0,0,1,38.00,8.60,1/18,2,0
SPL2-038,7,6,90,28,15.00,94.70,0,0,5,18.60,6.40,3/14,3,0
SPL2-039,11,10,285,75,28.50,124.50,2,0,4,25.00,7.30,2/16,5,0
SPL2-040,13,12,195,48,16.25,102.80,0,0,0,0.00,0.00,,8,5
SPL2-041,7,6,62,20,10.33,85.40,0,0,1,30.00,8.50,1/12,2,0
SPL2-042,6,5,75,25,15.00,95.20,0,0,3,22.30,7.20,2/10,1,0
SPL2-043,10,9,280,78,31.11,130.80,2,0,6,18.00,6.20,3/20,4,0
SPL2-044,9,8,215,60,26.88,118.30,1,0,5,21.40,6.80,2/18,3,0
SPL2-045,11,10,340,82,34.00,142.00,3,0,2,32.00,8.00,1/20,4,0
SPL2-046,8,7,175,52,25.00,120.70,1,0,7,16.50,5.80,4/16,3,0
SPL2-047,7,6,130,40,21.67,112.60,0,0,3,24.30,7.40,2/14,2,0
SPL2-048,9,8,95,28,11.88,88.50,0,0,8,14.80,5.40,4/10,2,0
SPL2-049,12,11,365,92,33.18,138.60,4,0,4,26.00,7.20,2/24,6,0
SPL2-050,6,5,45,18,9.00,78.90,0,0,0,0.00,0.00,,1,0
